Player,Nation,Pos,Squad,Comp,Age,Born,GCA,GCA90,Won,Lost,npxG+xAG,Att,Succ,SoT,FK,Sh,Gls,Ast,PrgC,PrgP,PrgR,G+A,SCA,SCA90,90s,TklW,Blocks,Int,Clr,Prgc,G+A,Tkl%,Crs,Att,Succ,Won
Aaron Malouda,fr FRA,FW,Lille,fr Ligue 1,19-059,2005,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,
Abdallah Sima,sn SEN,FW,Brest,fr Ligue 1,23-225,2001,2,0.32,20,20,2.6,13,5,10,0,19,3,0,,,,,,,,,,,,,,,,,,
Abdoulie Ceesay,gm GAM,FW,St. Pauli,de Bundesliga,21-023,2004,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,eng Premier League,20-326,2004,3,0.47,14,13,2,69,29,5,0,13,0,0,,,,,,,,,,,,,,,,,,
Abel Ruiz,es ESP,FW,Girona,es La Liga,25-000,2000,1,0.09,7,16,2.7,15,5,6,0,18,3,2,,,,,,,,,,,,,,,,,,
Adrian Baquerin,es ESP,FW,Valladolid,es La Liga,17-330,2007,0,0,0,0,0,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,
Adrian Niño,es ESP,FW,Atlético Madrid,es La Liga,20-223,2004,0,0,0,1,0.2,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,
Adu Ares,es ESP,FW,Athletic Club,es La Liga,23-108,2001,0,0,0,0,0,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,
Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24-365,2000,5,0.42,28,27,5.3,14,7,12,0,26,3,1,,,,,,,,,,,,,,,,,,
Alberto Cerri,it ITA,FW,Como,it Serie A,28-287,1996,0,0,4,4,1,0,0,1,0,4,0,0,,,,,,,,,,,,,,,,,,
Alberto Marí,es ESP,FW,Valencia,es La Liga,23-201,2001,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Alejo Véliz,ar ARG,FW,Espanyol,es La Liga,21-131,2003,1,0.1,37,41,2.4,5,1,5,0,15,1,4,,,,,,,,,,,,,,,,,,
Alexander Isak,se SWE,FW,Newcastle Utd,eng Premier League,25-129,1999,11,0.58,17,35,17,68,33,30,3,62,17,0,,,,,,,,,,,,,,,,,,
Alexander Sørloth,no NOR,FW,Atlético Madrid,es La Liga,29-054,1995,4,0.46,51,26,7.9,20,11,17,0,34,8,0,,,,,,,,,,,,,,,,,,
